year,rank,id,name,team,pos,gms,pyds,ptd,pint,ryds,rtd,rec,reyds,retd,fum,fpts/g,fpts
2019,284,19922,Justin Watson,TB,WR,16,0,0,0,0,0,15,159,2,0,1.7,27.9
2019,287,21138,Scotty Miller,TB,WR,10,0,0,0,16,0,13,200,1,0,2.8,27.6
2019,288,20792,N'Keal Harry,NE,WR,7,0,0,0,49,0,12,105,2,0,3.9,27.4
2019,289,16933,James O'Shaughnessy,JAX,TE,5,0,0,0,0,0,14,153,2,0,5.5,27.3
2019,290,19915,Mark Walton SUS,MIA,RB,7,0,0,0,201,0,15,89,0,1,3.9,27
2019,291,20820,Andy Isabella,ARI,WR,15,0,0,0,15,0,9,189,1,0,1.8,26.4
2019,291,19296,Anthony Firkser,TEN,TE,15,0,0,0,0,0,14,204,1,0,1.8,26.4
2019,293,12800,Bilal Powell,NYJ,RB,13,0,0,0,229,0,7,33,0,0,2,26.2
2019,293,16816,Maxx Williams,ARI,TE,16,0,0,0,0,0,15,202,1,0,1.6,26.2
2019,295,14865,Marquise Goodwin IR,SF,WR,9,0,0,0,15,0,12,186,1,0,2.9,26.1
2019,295,20566,Dontrell Hilliard,CLE,RB,14,0,0,0,49,2,12,92,0,0,1.9,26.1
2019,297,9902,Chase Daniel,CHI,QB,3,435,3,2,6,0,0,0,0,0,8.7,26
2019,297,19969,Damion Ratley,CLE,WR,13,0,0,0,0,0,12,200,1,0,2,26
2019,299,20079,Trey Quinn,WAS,WR,12,0,0,0,0,0,26,198,1,1,2.2,25.8
2019,300,19098,Isaiah Ford,MIA,WR,8,0,0,0,11,0,23,244,0,0,3.2,25.5
