year,rank,id,name,team,pos,gms,pyds,ptd,pint,ryds,rtd,rec,reyds,retd,fum,fpts/g,fpts
2019,93,14856,Zach Ertz Q,PHI,TE,15,0,0,0,0,0,88,916,6,1,8.5,127.6
2019,94,16389,Odell Beckham Jr,CLE,WR,16,20,0,0,10,0,74,1035,4,1,8,127.3
2019,95,8534,Jared Cook,NO,TE,14,0,0,0,0,0,43,705,9,0,8.9,124.5
2019,96,11063,Emmanuel Sanders,SF,WR,17,35,1,0,0,0,66,869,5,0,7.3,124.3
2019,97,15071,Latavius Murray,NO,RB,16,0,0,0,637,5,34,235,1,0,7.7,123.2
2019,98,20943,Darius Slayton,NYG,WR,14,0,0,0,0,0,48,740,8,0,8.7,122
2019,99,16866,Jamison Crowder,NYJ,WR,16,0,0,0,4,0,78,833,6,0,7.5,119.7
2019,100,20941,Devin Singletary,BUF,RB,12,0,0,0,775,2,29,194,2,1,9.9,118.9
2019,101,14141,Cole Beasley,BUF,WR,15,0,0,0,0,0,67,778,6,0,7.9,117.8
2019,102,18928,Curtis Samuel,CAR,WR,16,0,0,0,130,1,54,627,6,0,7.4,117.7
2019,103,17963,Austin Hooper,ATL,TE,13,0,0,0,0,0,75,787,6,0,9,116.7
2019,104,16834,Tevin Coleman,SF,RB,14,0,0,0,544,6,21,180,1,0,8.2,114.4
2019,105,18914,Mike Williams,LAC,WR,15,0,0,0,2,0,49,1001,2,0,7.5,112.3
2019,106,18983,James Conner,PIT,RB,10,0,0,0,464,4,34,251,3,1,11.2,111.5
2019,107,16031,Damien Williams,KC,RB,11,0,0,0,498,5,30,213,2,1,10.1,111.1
2019,108,18187,Robby Anderson,NYJ,WR,16,0,0,0,4,0,52,779,5,0,6.9,110.3
2019,109,16838,Duke Johnson,HOU,RB,16,0,0,0,410,2,44,410,3,1,6.9,110
2019,110,16837,Chris Conley,JAX,WR,16,0,0,0,0,0,47,775,5,0,6.8,109.5
2019,111,19850,Mason Rudolph,PIT,QB,10,1765,13,9,42,0,0,0,0,0,10.9,108.8
2019,112,18995,Jamaal Williams P,GB,RB,14,0,0,0,460,1,39,253,5,0,7.7,107.3
2019,113,16847,David Johnson,ARI,RB,13,0,0,0,345,2,36,370,4,1,8.1,105.5
2019,114,15694,Case Keenum,WAS,QB,10,1707,11,5,12,1,0,0,0,3,10.3,103.48
2019,115,11611,Golden Tate,NYG,WR,11,0,0,0,16,0,49,676,6,1,9.4,103.2
2019,116,5571,Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,75,804,4,1,6.4,102.4
2019,117,16787,Breshad Perriman,TB,WR,14,0,0,0,16,0,36,645,6,0,7.3,102.1
2019,118,18067,Jordan Howard,PHI,RB,10,0,0,0,525,6,10,69,1,0,10.1,101.4
2019,119,17048,Tyrell Williams,OAK,WR,14,0,0,0,0,0,42,651,6,0,7.2,101.1
2019,120,18375,Peyton Barber,TB,RB,16,0,0,0,470,6,16,115,1,1,6.3,100.5
2019,121,21045,Marquise Brown,BAL,WR,14,0,0,0,0,0,46,584,7,0,7.2,100.4
2019,122,19815,Christian Kirk,ARI,WR,13,0,0,0,93,0,68,709,3,0,7.7,100.2
2019,123,13227,Randall Cobb,DAL,WR,15,0,0,0,11,0,55,828,3,1,6.7,99.9
2019,124,19823,Royce Freeman,DEN,RB,16,0,0,0,496,3,43,256,1,0,6.2,99.2
2019,125,21077,Diontae Johnson,PIT,WR,16,0,0,0,41,0,59,680,5,2,6.1,98.1
2019,126,17975,Hunter Henry,LAC,TE,12,0,0,0,0,0,55,652,5,1,7.9,95.2
2019,127,19172,Zach Pascal,IND,WR,16,0,0,0,16,0,41,607,5,0,5.9,94.3
2019,128,18032,Tyler Higbee,LAR,TE,15,0,0,0,0,0,69,734,3,0,6.1,91.4
2019,129,18992,Dede Westbrook,JAX,WR,15,0,0,0,27,0,66,660,3,0,6,90.7
2019,130,11932,LeSean McCoy,KC,RB,13,0,0,0,465,4,28,181,1,2,7,90.6
2019,131,16497,Teddy Bridgewater,NO,QB,9,1384,9,2,31,0,0,0,0,0,10.1,90.46
2019,132,19865,James Washington,PIT,WR,15,0,0,0,0,0,44,735,3,1,6,89.5
2019,133,20788,Mecole Hardman,KC,WR,16,0,0,0,17,0,26,538,6,2,5.5,87.5
2019,134,19863,Dallas Goedert,PHI,TE,15,0,0,0,0,0,58,607,5,2,5.8,86.7
2019,135,16003,Sammy Watkins,KC,WR,14,0,0,0,12,0,52,673,3,1,6.2,86.5
2019,136,18061,Deandre Washington,OAK,RB,16,0,0,0,387,3,36,292,0,0,5.4,85.9
2019,137,20239,Gus Edwards,BAL,RB,16,0,0,0,711,2,7,45,0,1,5.4,85.6
2019,138,16763,Marcus Mariota,TEN,QB,7,1203,7,2,129,0,0,0,0,0,12.1,85.02
2019,139,17916,Will Fuller P,HOU,WR,11,0,0,0,0,0,49,670,3,0,7.7,85
2019,139,19853,Mike Gesicki,MIA,TE,16,0,0,0,0,0,51,570,5,1,5.3,85
2019,141,19003,Tarik Cohen,CHI,RB,16,0,0,0,213,0,79,456,3,0,5.3,84.9
2019,142,611,Joe Flacco,DEN,QB,8,1822,6,5,20,0,0,0,0,3,10.6,84.88
2019,143,17961,Sterling Shepard,NYG,WR,10,0,0,0,72,0,57,576,3,0,8.5,84.8
2019,144,20924,Hunter Renfrow,OAK,WR,13,0,0,0,0,0,49,605,4,0,6.5,84.5
2019,145,15534,Adam Thielen,MIN,WR,10,0,0,0,6,1,30,418,6,0,8.4,84.4
2019,146,19319,Matt Breida,SF,RB,13,0,0,0,623,1,19,120,1,1,6.5,84.3
2019,147,19238,Taysom Hill,NO,QB,16,55,0,0,156,1,19,234,6,0,5.2,83.2
2019,148,5820,Frank Gore,BUF,RB,16,0,0,0,599,2,13,100,0,0,5.1,81.9
2019,149,14005,T.Y. Hilton,IND,WR,10,0,0,0,0,0,45,501,5,0,8,80.1
2019,149,15196,Kenny Stills P,HOU,WR,13,0,0,0,0,0,40,561,4,0,6.2,80.1
2019,151,14187,Alshon Jeffery IR,PHI,WR,10,0,0,0,2,1,43,490,4,0,7.9,79.2
2019,152,9906,Danny Amendola,DET,WR,15,19,1,0,0,0,62,678,1,0,5.2,78.56
2019,153,722,Jason Witten,DAL,TE,16,0,0,0,0,0,63,529,4,1,4.8,76.9
2019,154,20795,Dwayne Haskins,WAS,QB,9,1365,7,7,101,0,0,0,0,2,8.5,76.7
2019,155,15247,Darren Fells,HOU,TE,16,0,0,0,0,0,34,341,7,0,4.8,76.1
2019,156,16568,Brandin Cooks,LAR,WR,14,0,0,0,52,0,42,583,2,0,5.4,75.5
2019,156,19864,Anthony Miller,CHI,WR,16,0,0,0,-1,0,52,656,2,1,4.7,75.5
2019,158,19822,Kerryon Johnson,DET,RB,8,0,0,0,403,3,10,127,1,1,9.4,75
2019,159,13275,Kyle Rudolph,MIN,TE,16,0,0,0,0,0,39,367,6,0,4.7,74.7
2019,160,20912,Tony Pollard,DAL,RB,15,0,0,0,455,2,15,107,1,1,4.9,74.2
2019,161,14917,Rex Burkhead,NE,RB,13,0,0,0,302,3,27,279,0,1,5.7,74.1
2019,162,20039,Boston Scott,PHI,RB,11,0,0,0,245,5,24,204,0,1,6.6,72.9
2019,163,18879,Corey Davis,TEN,WR,15,0,0,0,0,0,43,601,2,0,4.8,72.1
2019,164,16790,Phillip Dorsett,NE,WR,14,0,0,0,21,0,29,397,5,0,5.1,71.8
2019,165,1658,Greg Olsen,CAR,TE,14,0,0,0,0,0,52,597,2,0,5.1,71.7
2019,166,18883,JuJu Smith-Schuster,PIT,WR,12,0,0,0,0,0,42,552,3,1,5.9,71.2
2019,167,20753,Noah Fant,DEN,TE,16,0,0,0,-12,0,40,562,3,1,4.4,71
2019,168,19919,Chase Edmonds,ARI,RB,13,0,0,0,303,4,12,105,1,0,5.4,70.8
2019,169,18990,Jonnu Smith,TEN,TE,16,0,0,0,78,0,35,439,3,0,4.4,69.7
2019,170,21400,Steven Sims Jr.,WAS,WR,16,0,0,0,85,1,34,310,4,0,4.3,69.5
2019,171,18047,Demarcus Robinson,KC,WR,16,0,0,0,0,0,32,449,4,0,4.3,68.9
2019,172,15602,Jack Doyle,IND,TE,16,0,0,0,0,0,43,448,4,0,4.3,68.8
2019,173,20859,Drew Lock,DEN,QB,5,1020,7,3,72,0,0,0,0,1,13.6,68
2019,174,19318,Kendrick Bourne,SF,WR,16,0,0,0,0,0,30,358,5,0,4.2,67.8
2019,174,20145,Allen Lazard,GB,WR,12,0,0,0,21,0,35,477,3,0,5.6,67.8
2019,176,19799,Rashaad Penny IR,SEA,RB,10,0,0,0,370,3,8,83,1,1,6.7,67.3
2019,177,18881,John Ross,CIN,WR,8,0,0,0,4,0,28,506,3,1,8.4,67
2019,178,18912,Evan Engram,NYG,TE,8,0,0,0,7,0,44,467,3,0,8.2,65.4
2019,179,13878,Mohamed Sanu,NE,WR,15,0,0,0,11,0,59,520,2,0,4.3,65.1
2019,180,18944,Kareem Hunt,CLE,RB,8,0,0,0,179,2,37,285,1,0,8,64.4
2019,181,16141,Willie Snead,BAL,WR,16,0,0,0,2,0,31,339,5,0,4,64.1
2019,182,14985,Ryan Griffin,NYJ,TE,13,0,0,0,0,0,34,320,5,0,4.9,64
2019,183,14918,Tyler Eifert,CIN,TE,16,0,0,0,0,0,43,436,3,0,4,63.6
2019,184,11488,Jimmy Graham,GB,TE,16,0,0,0,0,0,38,447,3,0,3.9,62.7
2019,185,19912,Nyheim Hines,IND,RB,16,0,0,0,199,2,44,320,0,1,3.9,61.9
2019,186,20057,Auden Tate,CIN,WR,12,0,0,0,0,0,40,575,1,1,5.1,61.5
2019,187,16129,Taylor Gabriel,CHI,WR,9,0,0,0,20,0,29,353,4,0,6.8,61.3
2019,188,20988,Preston Williams,MIA,WR,8,0,0,0,0,0,32,428,3,1,7.4,58.8
2019,189,20868,Alexander Mattison P,MIN,RB,13,0,0,0,462,1,10,82,0,1,4.5,58.4
2019,190,19976,Marquez Valdes-Scantling,GB,WR,16,0,0,0,9,0,26,452,2,0,3.6,58.1
